title,category,section,difficulty_level,avg_grade_level,word_count,sentence_count,syllable_count,complex_word_count,char_count,avg_words_per_sentence,avg_syllables_per_word,avg_chars_per_word,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,automated_readability_index
Tardigrade,biology,heading: Naming,High School,9.0768,50,4,81,6,257,12.5,1.62,5.14,57.095500000000015,8.401000000000003,9.8,,9.029399999999999
Tardigrade,biology,heading: Description,Elementary,3.543001443001444,33,7,49,3,143,4.714285714285714,1.4848484848484849,4.333333333333333,76.4318181818182,3.7697835497835506,5.522077922077923,,1.337142857142858
Tardigrade,biology,heading: Habitat,College,15.422624113475178,94,4,160,19,495,23.5,1.702127659574468,5.26595744680851,38.982500000000016,13.660106382978729,17.485106382978724,,15.12265957446808
Tardigrade,biology,heading: Anatomy and morphology,College,14.708293372319687,540,19,807,63,2543,28.42105263157895,1.4944444444444445,4.70925925925926,51.55763157894738,13.128654970760234,16.035087719298247,,14.961137426900585
Tardigrade,biology,heading: Reproduction,High School,10.649591194968556,212,12,327,27,1030,17.666666666666668,1.5424528301886793,4.8584905660377355,58.411823899371086,9.500943396226418,12.161006289308176,,10.286823899371072
Tardigrade,biology,heading: Ecology and life history,Graduate/Professional,19.546879432624113,188,6,329,42,1024,31.333333333333332,1.75,5.446808510638298,26.98166666666671,17.280000000000005,21.46950354609929,,19.891134751773052
Tardigrade,biology,heading: Physiology,Graduate/Professional,21.602371652186406,733,19,1224,141,3838,38.578947368421055,1.669849931787176,5.2360163710777625,26.408064191857562,19.16001866877289,23.12598549579953,,22.521110791986793
Tardigrade,biology,heading: Physiology -> subheading: Survival after exposure to outer space,Graduate/Professional,26.779777415852333,307,6,513,57,1578,51.166666666666664,1.6710097719869708,5.140065146579804,13.533406623235635,24.082915309446253,27.893376764386534,,28.363040173724208
Tardigrade,biology,heading: Taxonomy,Graduate/Professional,16.99177489177489,154,7,286,42,876,22.0,1.8571428571428572,5.688311688311688,27.390714285714296,14.904285714285717,19.709090909090907,,16.361948051948055
Tardigrade,biology,heading: Evolutionary history,Graduate/Professional,20.13857001972387,169,6,325,49,962,28.166666666666668,1.9230769230769231,5.6923076923076925,15.553525641025658,18.087307692307693,22.864299802761344,,19.464102564102568
Tardigrade,biology,heading: Genomes and genome sequencing,College,15.309327913279134,246,10,414,44,1264,24.6,1.6829268292682926,5.138211382113822,39.49039024390245,13.862536585365856,16.99447154471545,,15.070975609756097
Tardigrade,biology,heading: Ecological importance,Graduate/Professional,17.50557471264368,58,3,113,19,351,19.333333333333332,1.9482758620689655,6.051724137931035,22.387528735632202,14.939655172413794,20.836781609195402,,16.740287356321836
Immortal jellyfish,biology,heading: Taxonomy,High School,9.525683760683762,78,6,130,12,381,13.0,1.6666666666666667,4.884615384615385,52.640000000000015,9.146666666666668,11.353846153846156,,8.076538461538462
Immortal jellyfish,biology,heading: Description,College,12.848604581072939,158,7,249,23,739,22.571428571428573,1.5759493670886076,4.677215189873418,50.599683544303815,11.809059674502716,14.851356238698012,,11.885397830018086
Immortal jellyfish,biology,heading: Distribution and invasion,College,13.947658008658008,110,7,205,28,617,15.714285714285714,1.8636363636363635,5.609090909090909,33.22136363636366,12.529480519480519,16.467532467532468,,12.845961038961036
Immortal jellyfish,biology,heading: Life cycle,High School,11.887120927318295,152,7,231,20,693,21.714285714285715,1.519736842105263,4.559210526315789,56.22526315789477,10.811466165413535,13.948872180451128,,10.901024436090225
Immortal jellyfish,biology,heading: Life cycle -> subheading: Biological immortality,Graduate/Professional,17.727859716041536,363,13,642,72,1956,27.923076923076923,1.7685950413223142,5.3884297520661155,28.869936427209154,16.16942148760331,19.103115066751432,,17.911042593769864
Immortal jellyfish,biology,heading: Ecology -> subheading: Diet,Middle School,7.207355919003114,107,8,150,7,505,13.375,1.4018691588785046,4.719626168224299,74.66124415887852,6.1683060747663525,7.966822429906542,,7.486939252336448
Immortal jellyfish,biology,heading: Ecology -> subheading: Predation,High School,10.351162162162163,74,5,121,11,373,14.8,1.635135135135135,5.04054054054054,53.48056756756759,9.476594594594598,11.865945945945947,,9.710945945945944
Immortal jellyfish,biology,heading: Ecology -> subheading: Habitat,High School,10.179764150943397,53,4,88,11,254,13.25,1.6603773584905661,4.7924528301886795,52.918325471698125,9.16995283018868,13.60188679245283,,7.767452830188681
Immortal jellyfish,biology,heading: Genomic analysis,Graduate/Professional,16.67538888888889,120,5,219,29,634,24.0,1.825,5.283333333333333,28.08000000000004,15.305,19.26666666666667,,15.454500000000003
Immortal jellyfish,biology,heading: Culturing,High School,11.61888888888889,90,6,156,18,460,15.0,1.7333333333333334,5.111111111111111,44.97000000000003,10.713333333333338,14.0,,10.14333333333333
Quantum biology,biology,heading: History,College,14.753067632850241,184,9,325,38,1008,20.444444444444443,1.766304347826087,5.478260869565218,36.65454106280197,13.22572463768116,16.438647342995168,,14.594830917874397
Quantum biology,biology,heading: Enzyme catalysis,Graduate/Professional,25.583046874999997,256,6,480,64,1446,42.666666666666664,1.875,5.6484375,4.903333333333364,23.175,27.066666666666663,,26.50747395833333
Quantum biology,biology,heading: Enzyme catalysis -> subheading: Ferritin,Graduate/Professional,30.383808567603754,498,9,883,133,2663,55.333333333333336,1.7730923694779117,5.347389558232932,0.6680522088353484,26.912489959839366,32.81606425702812,,31.42287148594378
Quantum biology,biology,heading: Sensory processes -> subheading: Olfaction,Graduate/Professional,20.29337591240876,274,8,463,65,1413,34.25,1.6897810218978102,5.156934306569343,29.11577554744528,17.70691605839416,23.189051094890512,,19.98416058394161
Quantum biology,biology,heading: Sensory processes -> subheading: Vision,College,13.710530864197532,216,10,366,35,1092,21.6,1.6944444444444444,5.055555555555555,41.56100000000001,12.828444444444447,15.121481481481482,,13.181666666666665
Quantum biology,biology,heading: Energy transfer -> subheading: Photosynthesis,Graduate/Professional,22.48139710806697,876,25,1646,222,5013,35.04,1.8789954337899544,5.722602739726027,12.306386301369884,20.247746118721462,24.152986301369864,,23.043458904109592
Quantum biology,biology,heading: Energy transfer -> subheading: Mitochondria,Graduate/Professional,21.458355805243446,356,10,631,85,1890,35.6,1.7724719101123596,5.308988764044944,20.749876404494415,19.209168539325848,23.79056179775281,,21.37533707865169
Quantum biology,biology,heading: Energy transfer -> subheading: Molecular solitons in proteins,Graduate/Professional,17.178055555555556,84,4,161,24,489,21.0,1.9166666666666667,5.821428571428571,23.370000000000005,15.216666666666665,19.82857142857143,,16.488928571428566
Quantum biology,biology,heading: Information encoding -> subheading: Magnetoreception,Graduate/Professional,18.676763565891477,344,12,615,82,1858,28.666666666666668,1.7877906976744187,5.401162790697675,26.49124031007753,16.685930232558146,21.0015503875969,,18.34281007751938
Quantum biology,biology,heading: Information encoding -> subheading: DNA mutation,High School,11.914880952380955,280,14,431,45,1330,20.0,1.5392857142857144,4.75,56.31142857142859,10.37357142857143,14.428571428571429,,10.942500000000003
Quantum biology,biology,heading: Other,College,13.61535087719298,19,2,41,6,111,9.5,2.1578947368421053,5.842105263157895,14.634605263157908,13.578157894736844,16.431578947368422,,10.83631578947368
Quantum biology,biology,heading: Other -> subheading: Pseudoscience,Graduate/Professional,17.494074074074074,54,3,105,18,344,18.0,1.9444444444444444,6.37037037037037,24.064999999999998,14.374444444444446,20.53333333333333,,17.574444444444445
